"","B_01_MS4A1","B_02_MS4A1_CD83","B_03_MZB1","B_04_STMN1","CD4T_01_CCR7","CD4T_02_SELL","CD4T_03_GPR183","CD4T_04_BAG3","CD4T_05_CD69","CD4T_06_PLCG2","CD4T_07_CXCL13","CD4T_08_STMN1","CD4T_09_FOXP3","CD4T_10_FOXP3_CTLA4","CD4T_11_FOXP3_STMN1","CD8T_01_CCR7","CD8T_02_CX3CR1","CD8T_03_GZMK_S1PR1","CD8T_04_GNLY","CD8T_05_KLRD1","CD8T_06_CD69","CD8T_07_PLCG2","CD8T_08_GZMK","CD8T_09_PDCD1_IFNG","CD8T_10_PDCD1","CD8T_11_SLC4A10","CD8T_12_IFIT3","CD8T_13_STMN1","DC_01_CLEC9A","DC_02_CD1C","DC_03_LAMP3","DC_04_CD207","DC_05_LILRA4","DC_06_STMN1","EC_01_CLEC4A","EC_02_CLEC4A_APOA2","EC_03_TFF3","EC_04_ACKR1","EC_05_KDR","EC_06_KDR_ESM1","EC_07_KDR_APOA2","EC_08_IGFBP3","EC_09_PLCG2","EC_10_STMN1","Fb_01_FAP","Fb_02_CXCL12","Fb_03_KLF4","Fb_04_FABP4","gdT_01_GNLY_S1PR5","gdT_02_GNLY","gdT_03_KLRD1","gdT_04_STMN1","Mast","Mo_01_CD14","Mo_02_CD16","Mono-like_01_CD14","Mono-like_02_CD16","Mono-like_03_CD14CD16","MonoDC","Mph_01_MARCO","Mph_02_CCL20","Mph_03_SPP1","Mph_04_TREM2","Mph_05_IL1B","Mph_06_CXCL9","Mph_07_SLC40A1","Mph_08_APOE","Mph_09_STMN1","Mu_01_MYH11","Mu_02_ABCC9","Mu_03_STMN1","Neu_01_MMP8","Neu_02_S100A12","Neu_03_ISG15","Neu_04_TXNIP","Neu_05_ELL2","Neu_06_PTGS2","Neu_07_APOA2","Neu_08_CD74","Neu_09_IFIT1","Neu_10_SPP1","Neu_11_CCL4","NK_01_FCGR3A_CX3CR1","NK_02_FCGR3A_CXCR4","NK_03_FCGR3A_IFNG","NK_04_PLCG2","NK_05_CD160","NK_06_ITGA1","NK_07_STMN1"
"A055_HCC",0,11,29,0,0,0,702,6,275,6,22,82,0,246,15,0,0,0,54,10,229,6,77,3,110,186,0,46,72,60,6,2,5,34,14,0,2,127,559,138,17,259,2,80,31,105,0,0,0,2,69,12,1,0,0,42,26,227,0,90,16,13,96,129,90,2522,45,215,227,38,4,0,0,0,0,9,1,16,0,1,0,0,0,58,0,3,756,4,75
"A056_HCC",5,88,18,1,2,25,1158,28,416,133,24,32,0,641,2,0,8,0,1420,50,780,90,14,1,7,640,6,14,10,69,2,10,6,48,11,0,31,615,113,7,8,422,0,15,25,62,1,0,0,1,17,3,9,2,0,36,18,93,3,1,86,75,294,127,0,227,92,125,80,37,1,0,0,0,0,6,3,1,0,0,5,1,0,120,40,2,59,4,12
"A057_HCC",3,164,5,1,3,26,3610,15,143,13,94,80,1,327,11,0,0,0,136,147,189,2,31,0,89,364,5,15,99,123,9,0,5,16,22,0,1,77,317,117,12,147,0,14,0,9,0,0,2,0,22,3,4,1,1,34,37,123,2,32,3,0,1,47,4,138,37,4,222,12,5,0,0,0,0,0,0,6,0,0,0,0,1,570,0,0,157,8,7
"A058_HCC",0,9,54,0,0,101,469,23,1556,65,7,4,0,160,7,0,0,0,70,173,907,26,2,5,17,257,7,29,8,47,2,0,2,1,0,0,52,173,8,1,0,50,0,2,77,256,0,0,0,1,23,3,38,0,0,69,45,19,0,0,106,86,34,5,8,8,76,40,232,318,1,2,0,0,0,14,0,0,12,2,1,0,0,20,1,6,64,18,6
"A059_HCC",0,37,1,0,0,0,6,1,195,1,13,63,0,355,9,0,0,0,79,0,0,0,797,0,21,1,0,38,1,30,8,0,1,15,0,0,0,0,12,176,129,10,0,16,7,8,1,0,0,0,0,2,1,0,0,1,2,118,0,1,2,12,2,37,30,1526,47,173,27,218,9,0,0,0,0,0,0,103,0,0,1,0,0,45,0,0,56,0,7
"A061_HCC",6,25,39,3,0,10,23,301,222,32,196,33,0,269,29,0,0,0,42,5,373,39,1,1558,40,6,11,404,1,2,2,0,0,0,0,0,6,3,4,0,0,19,0,6,70,1,0,0,0,28,5,2,24,1,0,51,11,15,0,0,62,82,579,0,68,4,96,53,5,29,2,1,1,2,2,13,54,0,1069,85,77,131,0,7,14,6,153,18,56
"A062_ICC",0,0,1,0,0,0,37,1325,21,79,1,1,0,112,2,0,0,0,3,0,76,60,0,5,3,3,41,8,1,3,0,2,0,0,0,0,33,1,11,0,0,5,0,1,248,0,0,0,0,330,0,15,4,2,0,6,0,1,0,0,6,43,627,11,16,15,35,16,28,45,0,0,0,0,0,0,1,0,0,4,38,9,0,1,15,1,9,473,45
"A063_HCC",0,3,1,0,1,12,137,12,100,4,0,17,0,62,2,0,3,0,723,438,166,4,5,8,11,32,1,22,9,139,4,0,5,22,2,0,0,133,105,323,5,362,0,9,16,16,0,0,2,0,47,11,56,7,5,59,157,83,1,30,9,24,2,9,0,235,111,14,35,43,1,4,2,0,0,17,0,10,0,0,3,0,0,130,920,12,383,1,54
"A064_HCC",1,452,21,0,0,0,2653,0,136,2,41,27,0,251,8,0,0,0,203,1,222,3,370,0,6,208,3,3,94,298,34,0,23,56,40,1,1,37,365,107,31,78,0,22,4,18,0,0,0,0,6,3,6,0,0,31,18,212,0,70,17,13,10,152,87,195,41,29,69,61,2,0,0,0,0,1,0,13,0,0,0,1,0,82,0,1,97,1,15
"A065_HCC",4,8,8,1,25,4,14,229,104,226,5,14,1,292,18,2,202,17,3083,15,335,291,12,43,3,91,21,128,4,27,2,0,1,4,0,0,7,13,91,180,6,318,1,41,690,36,0,0,53,11,56,56,16,2,18,3,11,7,0,4,0,26,7,1,4,78,14,13,45,1336,77,0,0,0,0,2,0,0,0,1,0,0,73,632,465,312,79,9,112
